URL_Path_Text,Query_Params_Text,Method,Cookie_Names_Text,Headers_Text,User_Agent,Priority,Sec_Fetch_Dest,Param_Count,Label_Is_Valuable_Target,Scan_ID,Trace_ID,Source_Module,Route_Template_Text,Query_Shapes_Text,Request_Body_Text,Input_Names_Text,File_Extension_Text,Request_Header_Raw_Ordered_Text,Request_Header_Canonical_Text,Request_Header_Semantic_Text,Request_Origin_Relation_Text,Request_Fetch_Metadata_Text,Request_Auth_Scheme_Text,Label_Source
,,GET,cookiesession1,"cookie: cookiesession1=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/141.0.0.0 Safari/537.36",chrome,,,0,0,20260511_205619,774393d78088496a88840ef67733b3c9,recon.response_analysis,/,,,,,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/141.0.0.0 Safari/537.36
cookie: cookiesession1=<masked>","cookie: cookiesession1=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/141.0.0.0 Safari/537.36",cookie_name_cookiesession1,missing,,session_cookie,response_analysis
,,GET,cookiesession1,"accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: cookiesession1=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",chrome,,,0,0,20260511_205619,1732f99550d74ac79e4be437b5f0537e,path_analyze.page.depth_0,/,,,,,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: cookiesession1=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: cookiesession1=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name_cookiesession1,missing,,session_cookie,path_crawl_page
,,GET,__cf_bm,"accept-encoding: gzip, deflate, br, zstd
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>
host: itsd.flynas.com
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/141.0.0.0 Safari/537.36",chrome,,,0,1,20260511_210700,6f17abf19da14cb0968a1090f4cd7fda,recon.track_redirects,/,,,,,"host: itsd.flynas.com
accept: */*
accept-encoding: gzip, deflate, br, zstd
connection: keep-alive
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/141.0.0.0 Safari/537.36
cookie: __cf_bm=<masked>","accept-encoding: gzip, deflate, br, zstd
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>
host: itsd.flynas.com
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/141.0.0.0 Safari/537.36",cookie_name___cf_bm request_override_header_present,missing,,session_cookie,passive_trace
,,GET,__cf_bm,"cookie: __cf_bm=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/141.0.0.0 Safari/537.36",chrome,,,0,0,20260511_210700,7d8523cdd2ef4b929b5dc3ad5a8f2032,recon.response_analysis,/,,,,,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/141.0.0.0 Safari/537.36
cookie: __cf_bm=<masked>","cookie: __cf_bm=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/141.0.0.0 Safari/537.36",cookie_name___cf_bm,missing,,session_cookie,response_analysis
,,GET,__cf_bm,"accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",chrome,,,0,0,20260511_210700,44cedbb172ae4894a34693b18fedd1bd,path_analyze.page.depth_0,/,,,,,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name___cf_bm,missing,,session_cookie,path_crawl_page
,__cf_chl_f_tk,GET,__cf_bm,"accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",chrome,,,1,0,20260511_210700,ea6f9ad24266472881d18b0e288f3a8a,path_analyze.page.depth_1,/,__cf_chl_f_tk:filename_like,,,,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name___cf_bm,missing,,session_cookie,path_crawl_page
,__cf_chl_rt_tk,GET,__cf_bm,"accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",chrome,,,1,0,20260511_210700,eb60739adf0548b2b7885330354cef9a,path_analyze.page.depth_1,/,__cf_chl_rt_tk:filename_like,,,,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name___cf_bm,missing,,session_cookie,path_crawl_page
,__cf_chl_tk,GET,__cf_bm,"accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",chrome,,,1,0,20260511_210700,3262eb6623bc49aabd99313d08f2eb1d,path_analyze.page.depth_1,/,__cf_chl_tk:filename_like,,,,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name___cf_bm,missing,,session_cookie,path_crawl_page
,__cf_chl_rt_tk,GET,__cf_bm,"accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",chrome,,,1,0,20260511_210700,694ff9eaf96b41578e45aff72c0a12bb,path_analyze.page.depth_2,/,__cf_chl_rt_tk:filename_like,,,,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name___cf_bm,missing,,session_cookie,path_crawl_page
,__cf_chl_f_tk,GET,__cf_bm,"accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",chrome,,,1,0,20260511_210700,9c068caf30ea41a48ebe701fa461427d,path_analyze.page.depth_2,/,__cf_chl_f_tk:filename_like,,,,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: __cf_bm=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name___cf_bm,missing,,session_cookie,path_crawl_page
